,id,username,bot_type,user_type,origin_tweet_date,tweet_url,degree,node_entanglement,eigenvector_centrality,betweenness_centrality,clique_number,before_percolation,after_percolation,page_rank,mass_equivalent,energy_equivalent,critical_threshold_before_node_virality,critical_threshold_after_node_virality,closeness_centrality,random_walk
0,1502,itsmeSZ,private_account,bot,2022-12-14,https://twitter.com/itsmeSZ/status/1603176228558512128,61219,-0.00234394930560633,4.418959113023136e-11,0.00040896503163927433,2,0.00040896503163927433,0.00036820549133745713,0.015413351876935301,1.1940824660771668e-11,3.5129253682725807e-12,1.9331124933754848e-16,1.0739513852086027e-16,0.020416175893207697,0.015413351876935301
1,1386,yonomevacunoo,private_account,bot,2022-12-16,https://twitter.com/yonomevacunoo/status/1603750553539985408,59327,-0.002343949305608106,1.2527253336836091e-09,0.0005459035490207509,2,0.0005459035490207509,0.0004916042440503462,0.017731949644795644,1.1571788246289562e-11,3.4043568716167756e-12,1.8733688053461734e-16,1.0407604474145406e-16,0.023557126030624265,0.017731949644795644
2,978,newsmax,private_account,bot,2021-05-26,https://twitter.com/newsmax/status/1397597747906293766,34672,0.0,0.7069438407188399,0.01436127280034025,2,0.01436127280034025,0.01751889790303086,0.04044268581468774,6.762806851439509e-12,1.9895808224366115e-12,1.0948378178394747e-16,6.082432321330415e-17,0.038608689020515036,0.04044268581468774
3,434,JonPort79449036,spammer,bot,2021-10-09,https://twitter.com/JonPort79449036/status/1446680933797670917,19887,-3.7759894997435595e-06,1.640810388616363e-12,0.0007873964749434898,2,0.0007873964749434898,0.0009171834903916633,0.011209331192287255,3.878978422201705e-12,1.1411742563393197e-12,6.27971841352493e-17,3.488732451958294e-17,0.01625903600545047,0.011209331192287255
4,1387,gorskon,other,bot,2022-12-16,https://twitter.com/gorskon/status/1603751131330408448,17960,0.0046765048085823935,1.407288121773952e-06,0.0027878091410161393,2,0.0027878091410161393,0.0034753017524121682,0.007126744822710545,3.5031152241535985e-12,1.030597357261235e-12,5.671229582486435e-17,3.1506831013813526e-17,0.03156828102265641,0.007126744822710545
5,1561,MichelleDewbs,spammer,bot,2022-12-14,https://twitter.com/MichelleDewbs/status/1603147910220288000,16615,0.0,4.316910519463743e-23,3.238410884021403e-05,2,3.238410884021403e-05,2.9981727693986445e-05,0.004689837200581182,3.240771684260136e-12,9.534173213193442e-13,5.246518903842547e-17,2.91473272435697e-17,0.005889281507656066,0.004689837200581182
6,1671,ElectricUte420,spammer,bot,2022-12-14,https://twitter.com/ElectricUte420/status/1603131873881980933,13677,-0.002343949305608106,1.2337337578211537e-27,1.1103123030930525e-05,2,1.1103123030930525e-05,1.0626872288950189e-05,0.0029508888746859227,2.6677119666341187e-12,7.848262837005519e-13,4.318786581273217e-17,2.39932587848512e-17,0.0035335689045936395,0.0029508888746859227
7,1427,1SierraSteele,spammer,bot,2022-12-16,https://twitter.com/1SierraSteele/status/1603777750413692928,12801,-0.002343949305608106,1.0147076592510222e-23,2.8066227661518826e-05,2,2.8066227661518826e-05,2.6075693153847088e-05,0.004400012479598641,2.496847326525068e-12,7.345588402172088e-13,4.04217204261742e-17,2.2456511347874554e-17,0.005496662740478995,0.004400012479598641
8,1767,BOWorldwide,spammer,bot,2022-12-14,https://twitter.com/BOWorldwide/status/1603098618273345536,10491,1.7763568394002505e-15,2.1675437170467856e-24,2.4056766567016137e-05,2,2.4056766567016137e-05,2.2442065471712476e-05,0.004110187758616099,2.0462796111690093e-12,6.020042803467493e-13,3.3127432934223384e-17,1.8404129407901878e-17,0.005104043973301924,0.004110187758616099
9,2014,ShellyRKirchoff,private_account,bot,2022-12-14,https://twitter.com/ShellyRKirchoff/status/1603028116670402560,6975,0.0,1.3697196241903616e-43,0.0,2,0.0,0.0,0.0006322911068255742,1.3604804392244627e-12,4.002459112971667e-13,2.2024958985435903e-17,1.2236088325242167e-17,0.00039261876717707107,0.0006322911068255742
